service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Typ11_0,1,1,1,1,1,0,0,20251202,20261212
Typ12_1,0,0,0,0,0,1,0,20251202,20261212
Typ13_2,0,0,0,0,0,0,1,20251202,20261212
Typ14_3,1,1,1,1,1,0,0,20251202,20261212
Typ8_4,0,0,0,0,0,1,0,20251202,20261212
Typ9_5,0,0,0,0,0,0,1,20251202,20261212
Typ11_6,1,1,1,1,1,0,0,20251202,20261212
Typ12_7,0,0,0,0,0,1,0,20251202,20261212
Typ13_8,0,0,0,0,0,0,1,20251202,20261212
Prac.dny_9,1,1,1,1,1,0,0,20251202,20261212
Soboty_10,0,0,0,0,0,1,0,20251202,20261212
Neděle+Sv_11,0,0,0,0,0,0,1,20251202,20261212
Typ15_12,1,1,1,1,1,0,0,20251202,20261212
Prac.dny_13,1,1,1,1,1,0,0,20251202,20261212
Prázdniny_14,1,1,1,1,1,0,0,20251202,20261212
Prázdniny_15,1,1,1,1,1,0,0,20251202,20261212
Typ5_16,0,0,0,0,0,1,0,20251202,20261212
Neděle+Sv_17,0,0,0,0,0,0,1,20251202,20261212
Typ5_18,0,0,0,0,0,1,0,20251202,20261212
Prac.dny_19,1,1,1,1,1,0,0,20251202,20261212
Soboty_20,0,0,0,0,0,1,0,20251202,20261212
Neděle+Sv_21,0,0,0,0,0,0,1,20251202,20261212
Prázdniny_22,1,1,1,1,1,0,0,20251202,20261212
Typ5_23,0,0,0,0,0,1,0,20251202,20261212
Typ6_24,0,0,0,0,0,0,1,20251202,20261212
Typ10_25,1,1,1,1,1,0,0,20251202,20261212
Prac.dny_26,1,1,1,1,1,0,0,20251202,20261212
Neděle+Sv_27,0,0,0,0,0,0,1,20251202,20261212
