route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
1251,01,1,,,0,,FFFFFF,,
225,01,2,,,0,,FFFFFF,,
325,01,3,,,0,,FFFFFF,,
4251,01,4,,,0,,FFFFFF,,
525,01,5,,,0,,FFFFFF,,
6251,01,6,,,0,,FFFFFF,,
725,01,7,,,0,,FFFFFF,,
10025,01,10,,,3,,FFFFFF,,
11025,01,11,,,3,,FFFFFF,,
12025,01,12,,,3,,FFFFFF,,
13025,01,13,,,3,,FFFFFF,,
14025,01,14,,,3,,FFFFFF,,
15025,01,15,,,3,,FFFFFF,,
16025,01,16,,,3,,FFFFFF,,
17025,01,17,,,3,,FFFFFF,,
18025,01,18,,,3,,FFFFFF,,
19025,01,19,,,3,,FFFFFF,,
20025,01,20,,,3,,FFFFFF,,
21025,01,21,,,3,,FFFFFF,,
220251,01,22,,,3,,FFFFFF,,
24025,01,24,,,3,,FFFFFF,,
25025,01,25,,,3,,FFFFFF,,
260251,01,26,,,3,,FFFFFF,,
27025,01,27,,,3,,FFFFFF,,
28025,01,28,,,3,,FFFFFF,,
29025,01,29,,,3,,FFFFFF,,
31025,01,31,,,3,,FFFFFF,,
420250,01,42,,,3,,FFFFFF,,
50025,01,50,,,3,,FFFFFF,,
51025,01,51,,,3,,FFFFFF,,
52025,01,52,,,3,,FFFFFF,,
126,01,1,,,0,,FFFFFF,,
226,01,2,,,0,,FFFFFF,,
326,01,3,,,0,,FFFFFF,,
426,01,4,,,0,,FFFFFF,,
526,01,5,,,0,,FFFFFF,,
626,01,6,,,0,,FFFFFF,,
726,01,7,,,0,,FFFFFF,,
11026,01,11,,,3,,FFFFFF,,
12026,01,12,,,3,,FFFFFF,,
14026,01,14,,,3,,FFFFFF,,
15026,01,15,,,3,,FFFFFF,,
16026,01,16,,,3,,FFFFFF,,
17026,01,17,,,3,,FFFFFF,,
18026,01,18,,,3,,FFFFFF,,
19026,01,19,,,3,,FFFFFF,,
20026,01,20,,,3,,FFFFFF,,
21026,01,21,,,3,,FFFFFF,,
22026,01,22,,,3,,FFFFFF,,
25026,01,25,,,3,,FFFFFF,,
27026,01,27,,,3,,FFFFFF,,
50026,01,50,,,3,,FFFFFF,,
51026,01,51,,,3,,FFFFFF,,
52026,01,52,,,3,,FFFFFF,,
10026,01,10,,,3,,FFFFFF,,
13026,01,13,,,3,,FFFFFF,,
24026,01,24,,,3,,FFFFFF,,
28026,01,28,,,3,,FFFFFF,,
29026,01,29,,,3,,FFFFFF,,
31026,01,31,,,3,,FFFFFF,,
42026,01,42,,,3,,FFFFFF,,
26026,01,26,,,3,,FFFFFF,,
110261,01,11,,,3,,FFFFFF,,
120261,01,12,,,3,,FFFFFF,,
140261,01,14,,,3,,FFFFFF,,
150261,01,15,,,3,,FFFFFF,,
160261,01,16,,,3,,FFFFFF,,
170261,01,17,,,3,,FFFFFF,,
180261,01,18,,,3,,FFFFFF,,
190261,01,19,,,3,,FFFFFF,,
200261,01,20,,,3,,FFFFFF,,
210261,01,21,,,3,,FFFFFF,,
220261,01,22,,,3,,FFFFFF,,
250261,01,25,,,3,,FFFFFF,,
260261,01,26,,,3,,FFFFFF,,
270261,01,27,,,3,,FFFFFF,,
500261,01,50,,,3,,FFFFFF,,
510261,01,51,,,3,,FFFFFF,,
520261,01,52,,,3,,FFFFFF,,
